,Type,Start,End,Duration,Day of Week,Budget,Currency,Clicks,Impressions,Spent,CTR,CPC,CPI,Target Age,Target Gender,Username,Email,Name,Gender,Age
13,BYU,2018-07-13,2018-08-24,42,Friday,226814,EUR,66319,499998,163857,0.13263853055412222,2.4707399086234716,0.32771531086124345,20-35,F,johnmason,udennis@gmail.com,Christopher Vance,M,70
14,GRZ,2017-12-17,2018-01-20,34,Sunday,281376,EUR,10332,499999,40659,0.020664041328082656,3.9352497096399537,0.08131816263632527,30-35,M,johnmason,udennis@gmail.com,Christopher Vance,M,70
15,GRZ,2019-01-06,2020-11-24,688,Sunday,255074,USD,2611,500002,102149,0.0052219791120835515,39.122558406740715,0.20429718281126877,30-50,F,raymond44,vtate@myers-callahan.net,Shannon Floyd,F,33
16,BYU,2019-08-20,2019-11-03,75,Tuesday,734394,USD,53253,500000,410364,0.106506,7.705932060165624,0.820728,35-45,B,raymond44,vtate@myers-callahan.net,Shannon Floyd,F,33
17,AKX,2018-10-09,2019-06-04,238,Tuesday,786942,GBP,72598,499998,575621,0.14519658078632314,7.928882338356429,1.1512466049864198,20-30,M,raymond44,vtate@myers-callahan.net,Shannon Floyd,F,33
18,KTR,2018-12-15,2019-02-26,73,Saturday,396263,GBP,85054,500000,88953,0.170108,1.0458414654219672,0.177906,25-30,F,raymond44,vtate@myers-callahan.net,Shannon Floyd,F,33
19,BYU,2019-02-23,2020-07-28,521,Saturday,696213,GBP,78200,499998,186513,0.1564006256025024,2.385076726342711,0.37302749210996844,40-60,M,raymond44,vtate@myers-callahan.net,Shannon Floyd,F,33
20,AKX,2018-09-29,2019-09-03,339,Saturday,896511,EUR,8121,499999,770886,0.01624203248406497,94.92500923531584,1.5417750835501671,25-30,F,raymond44,vtate@myers-callahan.net,Shannon Floyd,F,33
21,BYU,2017-12-01,2019-08-21,628,Friday,161654,EUR,77029,499996,2728,0.1540592324738598,0.035415233223850755,0.005456043648349187,25-35,B,raymond44,vtate@myers-callahan.net,Shannon Floyd,F,33
22,KTR,2018-10-19,2019-12-08,415,Friday,890583,USD,35144,500002,402749,0.0702877188491246,11.459964716594582,0.8054947780208879,20-30,F,raymond44,vtate@myers-callahan.net,Shannon Floyd,F,33
23,AKX,2018-07-28,2018-12-14,139,Saturday,490201,USD,50290,499998,315644,0.10058040232160928,6.27647643666733,0.6312905251621006,25-30,M,jamiethompson,hestrada@brown-white.com,Angela Dillon,F,70
24,GRZ,2018-09-01,2020-08-09,708,Saturday,962658,EUR,18873,499997,857278,0.03774622647735886,45.42351507444497,1.7145662873977243,25-40,B,jamiethompson,hestrada@brown-white.com,Angela Dillon,F,70
25,KTR,2018-04-24,2018-12-23,243,Tuesday,166767,GBP,27005,500001,113457,0.05400989198021604,4.201333086465469,0.22691354617290765,35-50,B,jamiethompson,hestrada@brown-white.com,Angela Dillon,F,70
26,KTR,2018-01-21,2019-07-20,545,Sunday,807757,GBP,25815,499999,656523,0.05163010326020652,25.431841952353285,1.3130486260972523,40-60,F,jamiethompson,hestrada@brown-white.com,Angela Dillon,F,70
27,BYU,2018-10-21,2020-09-05,685,Sunday,557220,EUR,62384,500000,228829,0.124768,3.6680719415234675,0.457658,40-50,F,jamiethompson,hestrada@brown-white.com,Angela Dillon,F,70
28,GRZ,2018-10-30,2019-01-20,82,Tuesday,298916,EUR,74509,500000,128540,0.149018,1.7251607188393348,0.25708,35-50,F,randallcrystal,dhuff@yahoo.com,Robin Avila,F,35
29,AKX,2019-05-28,2020-07-20,419,Tuesday,433823,GBP,29084,500000,423582,0.058168,14.56409022142759,0.847164,35-45,M,randallcrystal,dhuff@yahoo.com,Robin Avila,F,35
30,GRZ,2018-02-22,2019-05-18,450,Thursday,200752,EUR,27500,500002,6615,0.054999780000879996,0.24054545454545453,0.01322994708021168,35-55,B,randallcrystal,dhuff@yahoo.com,Robin Avila,F,35
31,GRZ,2018-04-22,2020-01-12,630,Sunday,318748,GBP,56121,500002,198998,0.11224155103379586,3.5458740934765953,0.3979944080223679,30-50,F,randallcrystal,dhuff@yahoo.com,Robin Avila,F,35
32,AKX,2018-12-23,2019-10-05,286,Sunday,720300,EUR,22568,499996,3621,0.04513636109088873,0.16044842254519673,0.0072420579364634915,35-50,M,burtonashley,april65@sexton-hendrix.com,Dakota Mccoy,M,62
33,GRZ,2019-04-27,2020-12-16,599,Saturday,948837,USD,24073,500001,264200,0.048145903708192585,10.974951190130021,0.5283989432021136,25-40,B,burtonashley,april65@sexton-hendrix.com,Dakota Mccoy,M,62
34,GRZ,2018-09-23,2019-02-15,145,Sunday,902239,EUR,60227,499999,864970,0.12045424090848182,14.361831072442593,1.7299434598869197,20-35,B,burtonashley,april65@sexton-hendrix.com,Dakota Mccoy,M,62
35,GRZ,2019-01-17,2020-01-01,349,Thursday,528325,GBP,59450,500001,429069,0.1188997622004756,7.2173086627418,0.8581362837274326,45-65,M,burtonashley,april65@sexton-hendrix.com,Dakota Mccoy,M,62
36,BYU,2019-02-21,2019-04-22,60,Thursday,384196,USD,60490,499999,273160,0.12098024196048392,4.515787733509671,0.5463210926421853,30-40,F,burtonashley,april65@sexton-hendrix.com,Dakota Mccoy,M,62
37,BYU,2019-07-29,2020-05-14,290,Monday,535036,EUR,54043,499999,280396,0.10808621617243235,5.188387025146643,0.5607931215862432,20-30,B,javierkelly,zmendoza@gmail.com,Richard Wise,M,29
38,KTR,2018-01-09,2019-11-21,681,Tuesday,650541,EUR,27274,500003,411685,0.05454767271396371,15.094412260761164,0.8233650598096411,20-40,B,javierkelly,zmendoza@gmail.com,Richard Wise,M,29
39,BYU,2018-08-27,2020-01-11,502,Monday,216484,EUR,65756,500002,206715,0.13151147395410417,3.143667498022994,0.41342834628661485,20-30,M,rcampbell,kaitlynnorman@reid.com,Carolyn Carter,F,62
40,AKX,2018-03-25,2018-07-04,101,Sunday,196851,GBP,76309,499998,9983,0.1526186104744419,0.13082336290607924,0.019966079864319457,20-30,B,rcampbell,kaitlynnorman@reid.com,Carolyn Carter,F,62
41,KTR,2018-11-15,2019-12-07,387,Thursday,406600,USD,26600,500001,311759,0.0531998936002128,11.720263157894736,0.6235167529664941,25-35,F,rcampbell,kaitlynnorman@reid.com,Carolyn Carter,F,62
42,KTR,2018-09-16,2020-01-25,496,Sunday,621213,USD,67119,499998,335170,0.1342385369541478,4.993667962871914,0.6703426813707255,40-50,B,smithwilliam,meadowskelly@hotmail.com,Victoria Barnett MD,F,70
43,AKX,2019-05-15,2020-09-01,475,Wednesday,319439,EUR,15962,499999,151625,0.031924063848127696,9.499122916927703,0.303250606501213,30-40,M,smithwilliam,meadowskelly@hotmail.com,Victoria Barnett MD,F,70
44,KTR,2018-07-01,2018-12-23,175,Sunday,486400,GBP,63009,499997,375514,0.12601875611253668,5.95968829849704,0.7510325061950371,25-45,F,smithwilliam,meadowskelly@hotmail.com,Victoria Barnett MD,F,70
45,KTR,2018-02-22,2018-08-04,163,Thursday,335083,GBP,68476,499999,176834,0.1369522739045478,2.582423038728898,0.3536687073374147,30-50,B,smithwilliam,meadowskelly@hotmail.com,Victoria Barnett MD,F,70
46,AKX,2019-11-05,2019-11-06,1,Tuesday,25900,EUR,35707,500001,10422,0.07141385717228566,0.2918755426106926,0.020843958312083376,20-40,M,smithwilliam,meadowskelly@hotmail.com,Victoria Barnett MD,F,70
47,KTR,2019-04-08,2019-06-27,80,Monday,964277,GBP,92171,499997,614734,0.18434310605863635,6.6694947434659495,1.229475376852261,30-45,F,smithwilliam,meadowskelly@hotmail.com,Victoria Barnett MD,F,70
48,BYU,2019-03-19,2019-08-15,149,Tuesday,80935,USD,32298,499997,62439,0.06459638757832548,1.933215678989411,0.12487874927249563,20-40,B,paul62,paulrogers@yahoo.com,Dustin Jones,M,58
49,AKX,2018-03-07,2019-06-04,454,Wednesday,658400,EUR,28640,499999,491676,0.05728011456022912,17.167458100558658,0.9833539667079334,40-55,M,paul62,paulrogers@yahoo.com,Dustin Jones,M,58
50,BYU,2019-06-19,2019-06-20,1,Wednesday,847799,GBP,16936,499998,442213,0.033872135488541955,26.110829003306566,0.8844295377181509,30-40,M,paul62,paulrogers@yahoo.com,Dustin Jones,M,58
51,GRZ,2017-11-14,2018-04-06,143,Tuesday,979272,GBP,42981,500000,409881,0.085962,9.536330006281846,0.819762,35-50,B,paul62,paulrogers@yahoo.com,Dustin Jones,M,58
52,KTR,2018-02-15,2018-12-04,292,Thursday,444792,USD,43633,500004,275956,0.08726530187758498,6.324479178603351,0.5519075847393221,45-60,F,paul62,paulrogers@yahoo.com,Dustin Jones,M,58
53,GRZ,2018-06-02,2019-07-08,401,Saturday,773759,USD,10142,499998,399715,0.020284081136324544,39.411851705777956,0.799433197732791,25-50,B,paul62,paulrogers@yahoo.com,Dustin Jones,M,58
54,GRZ,2019-09-14,2021-08-15,701,Saturday,638022,USD,18843,499999,606548,0.03768607537215075,32.189566417237174,1.2130984261968525,20-25,B,weberleah,glassjoseph@holmes.com,Matthew Rivas,M,90
55,BYU,2018-02-20,2019-03-09,382,Tuesday,474480,USD,51155,500002,239258,0.10230959076163695,4.677118561235461,0.47851408594365624,25-50,B,weberleah,glassjoseph@holmes.com,Matthew Rivas,M,90
56,BYU,2018-01-06,2018-12-15,343,Saturday,69422,GBP,69404,499999,35432,0.13880827761655523,0.5105181257564405,0.07086414172828345,30-45,F,olynch,shawn97@hotmail.com,Madeline Dixon,F,57
57,GRZ,2018-07-27,2019-01-01,158,Friday,721654,USD,21945,500001,539660,0.04388991222017556,24.591478696741856,1.0793178413643172,30-35,B,olynch,shawn97@hotmail.com,Madeline Dixon,F,57
58,KTR,2019-06-19,2020-09-26,465,Wednesday,13430,GBP,77420,500003,12258,0.1548390709655742,0.1583311805734952,0.02451585290488257,40-45,F,olynch,shawn97@hotmail.com,Madeline Dixon,F,57
59,AKX,2019-10-10,2020-12-27,444,Thursday,375085,EUR,17219,500002,313091,0.034437862248551006,18.182879377431906,0.6261794952820189,30-50,M,zfowler,cindywong@harrell-young.com,Jason Hansen MD,M,37
60,AKX,2019-03-11,2020-12-15,645,Monday,11660,GBP,18417,500001,4964,0.03683392633214733,0.26953358310256825,0.009927980144039712,20-30,F,zfowler,cindywong@harrell-young.com,Jason Hansen MD,M,37
61,GRZ,2019-07-17,2019-10-17,92,Wednesday,907282,EUR,30916,499998,461129,0.061832247328989315,14.915545348686765,0.9222616890467562,25-40,M,zfowler,cindywong@harrell-young.com,Jason Hansen MD,M,37
62,BYU,2018-08-15,2020-06-04,659,Wednesday,615189,EUR,20368,499999,307905,0.04073608147216294,15.117095443833465,0.6158112316224632,35-50,F,zfowler,cindywong@harrell-young.com,Jason Hansen MD,M,37
63,BYU,2018-11-21,2020-09-17,666,Wednesday,244220,USD,38499,500002,55952,0.07699769200923197,1.4533364502974104,0.11190355238579046,25-40,M,brianharmon,adkinsstanley@martin-jimenez.info,Janet Russo,F,61
64,BYU,2017-11-14,2019-09-06,661,Tuesday,181049,USD,35015,499999,137769,0.07003014006028012,3.9345708981864913,0.2755385510771022,40-50,B,brianharmon,adkinsstanley@martin-jimenez.info,Janet Russo,F,61
65,GRZ,2019-09-22,2020-11-12,417,Sunday,63089,USD,41845,499998,14207,0.08369033476133904,0.33951487632931054,0.028414113656454625,20-35,B,brianharmon,adkinsstanley@martin-jimenez.info,Janet Russo,F,61
66,GRZ,2019-04-08,2019-09-13,158,Monday,241341,GBP,24548,499996,41816,0.04909639277114217,1.7034381619683885,0.08363266906135249,30-40,B,kevin79,bhawkins@moore.net,Andrew Garcia,M,48
67,AKX,2018-07-03,2019-02-10,222,Tuesday,566327,GBP,95895,499999,191070,0.19179038358076717,1.992491787893008,0.38214076428152854,20-30,B,kevin79,bhawkins@moore.net,Andrew Garcia,M,48
68,AKX,2019-06-14,2019-07-25,41,Friday,968408,EUR,47669,499999,583624,0.09533819067638136,12.243260819400449,1.167250334500669,40-60,F,kevin79,bhawkins@moore.net,Andrew Garcia,M,48
69,BYU,2018-11-29,2019-01-12,44,Thursday,14814,USD,36464,499998,6035,0.07292829171316685,0.16550570425625274,0.01207004828019312,40-55,B,cynthia72,robertbrown@hotmail.com,Sally Long,F,38
70,BYU,2019-04-28,2020-08-06,466,Sunday,736036,EUR,55973,500001,646278,0.11194577610844779,11.546245511228628,1.29255341489317,40-50,F,cynthia72,robertbrown@hotmail.com,Sally Long,F,38
71,KTR,2018-01-18,2019-03-17,423,Thursday,374796,GBP,21169,500002,68668,0.0423378306486774,3.2437998960744485,0.13733545065819736,40-50,M,cynthia72,robertbrown@hotmail.com,Sally Long,F,38
72,KTR,2018-10-25,2020-07-05,619,Thursday,794144,EUR,69276,500000,203860,0.138552,2.9427218661585544,0.40772,30-45,F,cynthia72,robertbrown@hotmail.com,Sally Long,F,38
73,BYU,2019-06-07,2019-06-09,2,Friday,907520,GBP,30733,499997,565586,0.06146636879821279,18.40321478540982,1.1311787870727223,35-45,M,cynthia72,robertbrown@hotmail.com,Sally Long,F,38
74,GRZ,2019-09-19,2020-05-03,227,Thursday,444652,EUR,76223,500003,323971,0.15244508532948803,4.2503050260420085,0.6479381123713258,25-40,F,armstrongcheryl,jason86@rivera.com,Justin Collins,M,27
75,GRZ,2018-02-19,2019-04-11,416,Monday,9871,USD,49314,500001,1108,0.0986278027443945,0.02246826459017723,0.002215995568008864,25-45,M,armstrongcheryl,jason86@rivera.com,Justin Collins,M,27
76,BYU,2018-09-23,2019-07-13,293,Sunday,736433,EUR,36513,500002,144133,0.07302570789716842,3.9474433763317176,0.2882648469406122,30-45,B,armstrongcheryl,jason86@rivera.com,Justin Collins,M,27
77,KTR,2019-06-20,2020-06-07,353,Thursday,366227,USD,13068,499996,23807,0.026136209089672718,1.8217783899602082,0.04761438091504732,40-50,B,andersonelizabeth,brownashley@gmail.com,Robert Mckinney,M,70
78,BYU,2019-01-23,2020-08-20,575,Wednesday,196033,GBP,24389,500000,42588,0.048778,1.7461970560498585,0.085176,35-45,F,andersonelizabeth,brownashley@gmail.com,Robert Mckinney,M,70
79,AKX,2018-04-24,2019-12-24,609,Tuesday,415936,USD,32191,500002,248260,0.0643817424730301,7.712093442266472,0.4965180139279443,25-35,F,andersonelizabeth,brownashley@gmail.com,Robert Mckinney,M,70
80,KTR,2019-03-11,2019-08-24,166,Monday,785785,USD,4416,499998,293210,0.008832035328141313,66.3971920289855,0.5864223456893828,30-35,B,andersonelizabeth,brownashley@gmail.com,Robert Mckinney,M,70
81,BYU,2018-11-09,2019-08-06,270,Friday,453884,USD,20189,500003,75793,0.0403777577334536,3.754173064540096,0.15158509048945706,25-30,M,andersonelizabeth,brownashley@gmail.com,Robert Mckinney,M,70
82,BYU,2019-05-10,2019-07-18,69,Friday,853740,GBP,32013,500001,610653,0.0640258719482561,19.07515696748196,1.2213035573928852,30-40,F,bennettkristen,cunninghamyolanda@hotmail.com,Amy Whitaker,F,50
83,BYU,2018-12-19,2019-04-08,110,Wednesday,724297,GBP,22266,499997,127437,0.04453226719360316,5.723389921853948,0.2548755292531755,35-45,M,bennettkristen,cunninghamyolanda@hotmail.com,Amy Whitaker,F,50
84,GRZ,2018-07-05,2019-11-05,488,Thursday,373806,EUR,17195,499999,136825,0.03439006878013756,7.957255015993021,0.2736505473010946,45-65,M,bennettkristen,cunninghamyolanda@hotmail.com,Amy Whitaker,F,50
85,BYU,2018-03-06,2019-01-04,304,Tuesday,438478,GBP,68834,499997,249674,0.13766882601295607,3.6271900514280735,0.49935099610597666,35-50,B,bennettkristen,cunninghamyolanda@hotmail.com,Amy Whitaker,F,50
86,BYU,2019-08-22,2020-03-06,197,Thursday,488651,EUR,48980,499998,57217,0.09796039184156737,1.168170681910984,0.11443445773783095,35-45,F,erivera,robertowillis@gmail.com,Maria Brooks,F,21
87,AKX,2018-03-19,2018-04-20,32,Monday,470876,EUR,83222,499999,218911,0.16644433288866578,2.6304462762250367,0.4378228756457513,40-65,B,erivera,robertowillis@gmail.com,Maria Brooks,F,21
88,AKX,2018-07-27,2019-08-22,391,Friday,662146,USD,28626,499999,194327,0.057252114504229006,6.788479005100259,0.3886547773095546,25-40,M,erivera,robertowillis@gmail.com,Maria Brooks,F,21
89,AKX,2018-04-19,2019-04-08,354,Thursday,308873,GBP,30386,499997,147995,0.0607723646341878,4.870499572171394,0.2959917759506557,40-45,M,erivera,robertowillis@gmail.com,Maria Brooks,F,21
90,KTR,2019-08-24,2021-01-19,514,Saturday,75967,USD,71058,500002,48960,0.14211543153827386,0.6890146077851895,0.09791960832156671,20-25,F,erivera,robertowillis@gmail.com,Maria Brooks,F,21
91,BYU,2017-12-21,2019-06-05,531,Thursday,236271,GBP,19578,500002,56191,0.0391558433766265,2.8701093063642866,0.11238155047379811,35-50,F,erivera,robertowillis@gmail.com,Maria Brooks,F,21
92,KTR,2018-12-01,2020-02-01,427,Saturday,785902,EUR,45752,500003,593403,0.09150345097929412,12.96999038293408,1.1867988792067248,25-30,F,erivera,robertowillis@gmail.com,Maria Brooks,F,21
93,GRZ,2018-07-24,2019-02-09,200,Tuesday,46934,GBP,54587,499999,7158,0.1091742183484367,0.13113012255665268,0.014316028632057264,20-40,F,erivera,robertowillis@gmail.com,Maria Brooks,F,21
94,GRZ,2018-08-03,2019-10-31,454,Friday,975350,EUR,39118,500002,674439,0.07823568705725177,17.241142185183293,1.348872604509582,20-30,B,johnmurphy,herreravirginia@olson.com,Lindsay Velazquez,F,33
95,AKX,2019-02-18,2019-09-22,216,Monday,436105,USD,43353,500001,241747,0.08670582658834683,5.576246165201947,0.483493033013934,20-25,M,johnmurphy,herreravirginia@olson.com,Lindsay Velazquez,F,33
96,AKX,2018-11-30,2020-11-06,707,Friday,561095,USD,39632,500002,17413,0.07926368294526821,0.4393671780379491,0.034825860696557215,30-45,M,ulowe,daniel47@watkins-hale.com,Victoria Diaz,F,31
97,BYU,2019-09-14,2021-06-21,646,Saturday,895921,USD,71773,500000,693649,0.143546,9.664483858832709,1.387298,35-50,F,ulowe,daniel47@watkins-hale.com,Victoria Diaz,F,31
98,BYU,2018-12-20,2020-03-13,449,Thursday,911966,EUR,48969,499997,113997,0.09793858763152578,2.3279421674937204,0.22799536797220785,45-65,B,ulowe,daniel47@watkins-hale.com,Victoria Diaz,F,31
99,BYU,2019-02-22,2020-11-26,643,Friday,973118,GBP,29914,500002,199981,0.059827760688957246,6.68519756635689,0.39996040015839934,40-55,F,ulowe,daniel47@watkins-hale.com,Victoria Diaz,F,31
100,AKX,2018-01-05,2018-08-17,224,Friday,44540,USD,21749,500002,11702,0.043497826008695964,0.5380477263322452,0.02340390638437446,20-30,F,ulowe,daniel47@watkins-hale.com,Victoria Diaz,F,31
101,AKX,2019-09-25,2020-12-05,437,Wednesday,263123,EUR,33993,499999,238259,0.06798613597227195,7.009060688965375,0.4765189530379061,30-45,F,stewartchristopher,sanderskimberly@gmail.com,Emily Ware,F,69
102,BYU,2019-02-18,2020-05-09,446,Monday,598678,USD,15964,500002,451771,0.03192787228851084,28.29936106239038,0.9035383858464566,35-40,F,stewartchristopher,sanderskimberly@gmail.com,Emily Ware,F,69
103,GRZ,2017-11-22,2019-03-01,464,Wednesday,795462,USD,32704,500000,784912,0.065408,24.000489236790607,1.569824,40-45,B,stewartchristopher,sanderskimberly@gmail.com,Emily Ware,F,69
104,KTR,2019-08-22,2020-07-26,339,Thursday,508571,USD,43494,500000,502512,0.086988,11.55359359911712,1.005024,20-30,B,stewartchristopher,sanderskimberly@gmail.com,Emily Ware,F,69
105,AKX,2018-04-12,2020-03-18,706,Thursday,560358,USD,79116,499997,96563,0.1582329493976964,1.22052429344254,0.19312715876295258,25-40,F,christinesteele,stephaniemarshall@yahoo.com,Casey Rodriguez,M,38
106,KTR,2018-09-15,2020-04-15,578,Saturday,993833,USD,76597,500002,592342,0.1531933872264511,7.733227149888377,1.1846792612829549,20-40,B,christinesteele,stephaniemarshall@yahoo.com,Casey Rodriguez,M,38
107,AKX,2019-05-16,2020-12-07,571,Thursday,608891,GBP,76578,499998,463482,0.1531566126264505,6.052417143304866,0.9269677078708315,45-65,B,christinesteele,stephaniemarshall@yahoo.com,Casey Rodriguez,M,38
108,AKX,2018-11-03,2018-12-03,30,Saturday,405417,EUR,56595,500004,143613,0.1131890944872441,2.5375563212297907,0.2872237022103823,35-50,M,christinesteele,stephaniemarshall@yahoo.com,Casey Rodriguez,M,38
109,AKX,2019-01-06,2020-02-17,407,Sunday,160436,GBP,26535,500000,86983,0.05307,3.278047861315244,0.173966,40-50,F,christinesteele,stephaniemarshall@yahoo.com,Casey Rodriguez,M,38
110,BYU,2019-07-12,2021-07-04,723,Friday,423786,EUR,51085,500001,286976,0.10216979566040868,5.617617695996868,0.5739508520982958,35-50,B,christinesteele,stephaniemarshall@yahoo.com,Casey Rodriguez,M,38
111,AKX,2019-10-11,2019-11-01,21,Friday,270731,GBP,21365,500002,52379,0.04272982908068368,2.451626491926047,0.10475758096967612,25-40,M,christinesteele,stephaniemarshall@yahoo.com,Casey Rodriguez,M,38
112,GRZ,2019-07-23,2020-09-24,429,Tuesday,515732,GBP,6992,500000,56122,0.013984,8.026601830663616,0.112244,20-25,F,mharmon,amy91@yahoo.com,Michael Hughes,M,37
113,GRZ,2018-03-11,2019-07-09,485,Sunday,947182,USD,43691,500002,738327,0.0873816504733981,16.898835000343322,1.4766480934076263,25-35,F,mharmon,amy91@yahoo.com,Michael Hughes,M,37
114,AKX,2017-12-27,2019-04-20,479,Wednesday,553289,GBP,40355,499999,89769,0.08071016142032283,2.224482715896419,0.17953835907671814,25-30,F,mharmon,amy91@yahoo.com,Michael Hughes,M,37
115,AKX,2018-07-27,2019-11-23,484,Friday,583013,USD,17895,500002,76115,0.03578985684057264,4.2534227437831795,0.15222939108243566,20-25,M,mharmon,amy91@yahoo.com,Michael Hughes,M,37
116,GRZ,2019-02-05,2020-07-27,538,Tuesday,433777,USD,72097,500000,344137,0.144194,4.773249927181436,0.688274,35-40,M,donna86,ijones@gmail.com,Alexis Wilson,F,79
117,GRZ,2019-08-12,2020-05-14,276,Monday,443033,GBP,12056,500002,397818,0.02411190355238579,32.997511612475115,0.7956328174687302,20-30,B,donna86,ijones@gmail.com,Alexis Wilson,F,79
118,BYU,2018-04-07,2018-07-20,104,Saturday,534473,EUR,61848,500002,78572,0.12369550521797913,1.2704048635364118,0.1571433714265143,20-35,F,donna86,ijones@gmail.com,Alexis Wilson,F,79
119,KTR,2018-09-10,2019-12-05,451,Monday,30227,GBP,13896,499996,4150,0.027792222337778703,0.29864709268854345,0.008300066400531204,30-50,B,donna86,ijones@gmail.com,Alexis Wilson,F,79
120,KTR,2018-04-23,2019-07-10,443,Monday,358311,GBP,15680,500001,34766,0.03135993728012544,2.217219387755102,0.06953186093627813,40-55,B,donna86,ijones@gmail.com,Alexis Wilson,F,79
121,AKX,2019-09-11,2020-01-12,123,Wednesday,113725,USD,8398,499998,40230,0.016796067184268737,4.7904262919742795,0.08046032184128736,40-60,M,donna86,ijones@gmail.com,Alexis Wilson,F,79
122,AKX,2019-05-14,2020-06-24,407,Tuesday,153193,GBP,43031,500001,89583,0.08606182787634424,2.081824731007878,0.17916564166871665,25-35,F,donna86,ijones@gmail.com,Alexis Wilson,F,79
123,GRZ,2018-05-15,2019-11-14,548,Tuesday,403955,USD,36051,499999,196961,0.07210214420428841,5.463399073534715,0.3939227878455757,40-50,M,donna86,ijones@gmail.com,Alexis Wilson,F,79
124,AKX,2019-04-23,2021-03-14,691,Tuesday,431464,GBP,40163,500000,402104,0.080326,10.011801907228046,0.804208,35-50,B,helengonzalez,callen@davidson.org,Theresa Brown,F,39
125,GRZ,2018-05-09,2018-06-11,33,Wednesday,466702,USD,20538,499998,351715,0.04107616430465722,17.125085207907293,0.7034328137312549,25-30,F,helengonzalez,callen@davidson.org,Theresa Brown,F,39
126,AKX,2019-07-07,2021-04-28,661,Sunday,408249,EUR,25215,499999,219311,0.05043010086020172,8.697640293476105,0.4386228772457545,25-35,M,helengonzalez,callen@davidson.org,Theresa Brown,F,39
127,AKX,2019-04-07,2019-06-21,75,Sunday,622998,USD,42400,499996,305972,0.08480067840542724,7.216320754716981,0.6119488955911647,40-55,F,helengonzalez,callen@davidson.org,Theresa Brown,F,39
128,KTR,2018-10-28,2019-09-28,335,Sunday,79044,GBP,34148,500000,65110,0.068296,1.906700245988052,0.13022,40-55,F,helengonzalez,callen@davidson.org,Theresa Brown,F,39
129,GRZ,2019-01-23,2020-01-08,350,Wednesday,590850,USD,49757,500000,111959,0.099514,2.2501155616295194,0.223918,30-40,B,helengonzalez,callen@davidson.org,Theresa Brown,F,39
130,GRZ,2018-06-02,2019-02-22,265,Saturday,702936,GBP,21563,500001,438852,0.043125913748172505,20.352084589342855,0.8777022445955108,20-35,F,helengonzalez,callen@davidson.org,Theresa Brown,F,39
131,AKX,2018-11-29,2020-04-20,508,Thursday,432498,USD,36802,500001,210512,0.07360385279229442,5.72012390630944,0.4210231579536841,30-50,F,helengonzalez,callen@davidson.org,Theresa Brown,F,39
